Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,99553,12,3,3.333808829282923,0.9472069796174765,39.34092202689499,3747.5482205458397,27.65601407244831,0.003333622983429728,3,4,4,5,5,6,7,8,14,33,39
POST,/api/BasketItems/,20072,20072,3,3.4006433267129044,1.1180489673279226,34.79869000148028,971.7578716620168,5.576040043616792,5.576040043616792,3,4,5,5,5,6,6,7,11,31,35
,Aggregated,119625,20084,3,3.3450230573490844,0.9472069796174765,39.34092202689499,3281.7955444096133,33.2320541160651,5.579373666600222,3,4,4,5,5,6,7,8,14,33,39
