Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,3,0,45,39.369309333172474,25.43797600083053,47.840229999565054,313.0,0.48760434662614416,0.0,45,45,48,48,48,48,48,48,48,48,48
GET,/rest/products/search?q=,12,0,20,22.624069665956387,10.272077000990976,38.22027699789032,12895.0,1.9504173865045766,0.0,23,28,33,33,35,38,38,38,38,38,38
POST,/rest/user/login,3,0,25,23.95895966765238,20.948473997123074,26.411307000671513,820.0,0.48760434662614416,0.0,25,25,26,26,26,26,26,26,26,26,26
,Aggregated,18,0,25,25.637424610775067,10.272077000990976,47.840229999565054,8785.5,2.925626079756865,0.0,25,28,33,35,45,48,48,48,48,48,48
