Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1697886824,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1697886825,1,,Aggregated,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,1,1,19.95894900028361,19.95894900028361,19.95894900028361,19.95894900028361,0.0
1697886826,2,,Aggregated,0.000000,0.000000,2,2,20,20,20,20,20,20,20,20,20,3,3,2,7.602151999890339,1.2802950004697777,19.95894900028361,0.0
1697886827,3,,Aggregated,0.000000,0.000000,2,2,2,20,20,20,20,20,20,20,20,5,5,2,5.194350000238046,1.2802950004697777,19.95894900028361,0.0
1697886828,3,,Aggregated,1.000000,1.000000,1,2,2,2,20,20,20,20,20,20,20,7,7,1.2802950004697777,4.099127000829737,1.2802950004697777,19.95894900028361,0.0
1697886829,3,,Aggregated,1.666667,1.666667,1,2,2,2,20,20,20,20,20,20,20,9,9,1.2802950004697777,3.5204540003582627,1.2802950004697777,19.95894900028361,0.0
1697886830,3,,Aggregated,1.666667,1.666667,2,2,2,2,20,20,20,20,20,20,20,10,10,1.2802950004697777,3.318473700346658,1.2802950004697777,19.95894900028361,0.0
1697886831,3,,Aggregated,1.750000,1.750000,1,2,2,2,2,20,20,20,20,20,20,11,11,1.2802950004697777,3.133210182237566,1.2802950004697777,19.95894900028361,0.0
1697886832,3,,Aggregated,1.600000,1.600000,1,2,2,2,2,20,20,20,20,20,20,14,14,1.2802950004697777,2.7499810712470207,1.2802950004697777,19.95894900028361,0.0
1697886833,3,,Aggregated,1.571429,1.571429,1,2,2,2,2,20,20,20,20,20,20,16,16,1.2802950004697777,2.591597249647748,1.2802950004697777,19.95894900028361,0.0
1697886834,3,,Aggregated,1.750000,1.750000,1,2,2,2,2,20,20,20,20,20,20,18,18,1.2802950004697777,2.465682110697445,1.2802950004697777,19.95894900028361,0.0
1697886835,3,,Aggregated,1.750000,1.750000,1,2,2,2,2,20,20,20,20,20,20,19,19,1.2802950004697777,2.4051349996864846,1.2802950004697777,19.95894900028361,0.0
1697886836,3,,Aggregated,1.666667,1.666667,1,2,2,2,2,2,20,20,20,20,20,21,21,1.2802950004697777,2.3635402855385714,1.2802950004697777,19.95894900028361,0.0
1697886837,3,,Aggregated,1.800000,1.800000,1,2,2,2,2,2,20,20,20,20,20,23,23,1.2802950004697777,2.2957549565193323,1.2802950004697777,19.95894900028361,0.0
1697886838,3,,Aggregated,1.800000,1.800000,1,2,2,2,2,2,20,20,20,20,20,24,24,1.1699430033331737,2.2488461251365757,1.1699430033331737,19.95894900028361,0.0
1697886839,3,,Aggregated,1.700000,1.700000,1,2,2,2,2,2,20,20,20,20,20,27,27,1.1699430033331737,2.151615333450199,1.1699430033331737,19.95894900028361,0.0
1697886840,3,,Aggregated,1.700000,1.700000,1,2,2,2,2,2,20,20,20,20,20,27,27,1.1699430033331737,2.151615333450199,1.1699430033331737,19.95894900028361,0.0
1697886841,3,,Aggregated,1.700000,1.700000,1,2,2,2,2,2,20,20,20,20,20,29,29,1.1699430033331737,2.100158379421216,1.1699430033331737,19.95894900028361,0.0
1697886842,3,,Aggregated,1.700000,1.700000,1,2,2,2,2,2,20,20,20,20,20,31,31,1.1699430033331737,2.070359580571793,1.1699430033331737,19.95894900028361,0.0
1697886843,3,,Aggregated,1.700000,1.700000,1,2,2,2,2,2,20,20,20,20,20,32,32,1.1699430033331737,2.047998906164139,1.1699430033331737,19.95894900028361,0.0
1697886844,3,,Aggregated,1.700000,1.700000,1,2,2,2,2,2,20,20,20,20,20,33,33,1.1699430033331737,2.030773424132459,1.1699430033331737,19.95894900028361,0.0
