Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,3,0,46,45.760946666026335,35.46474599716021,56.12587300129235,313.0,0.4038456465019302,0.0,46,46,56,56,56,56,56,56,56,56,56
GET,/rest/products/search?q=,14,0,26,24.400176642562396,10.551824001595378,32.85457199672237,12895.0,1.8846130170090076,0.0,26,29,31,32,32,33,33,33,33,33,33
POST,/rest/user/login,3,0,26,25.682339997729287,20.95571999961976,30.171058999258094,820.0,0.4038456465019302,0.0,26,26,30,30,30,30,30,30,30,30,30
,Aggregated,20,0,26,27.79661664935702,10.551824001595378,56.12587300129235,9196.45,2.6923043100128683,0.0,28,31,32,33,46,56,56,56,56,56,56
