Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,36,36,1.1699430033331737,1.9785878612310626,1.1699430033331737,19.95894900028361,0.0,1.7309570295819456,1.7309570295819456,1,2,2,2,2,2,20,20,20,20,20
,Aggregated,36,36,1.1699430033331737,1.9785878612310626,1.1699430033331737,19.95894900028361,0.0,1.7309570295819456,1.7309570295819456,1,2,2,2,2,2,20,20,20,20,20
