Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/Products/,44,0,22,23.522608341326386,17.065876003471203,43.62978300196119,12475.0,1.6022320300627149,0.0,22,24,26,26,34,39,44,44,44,44,44
POST,/api/Users/,44,0,24,27.071555636542723,19.46959499764489,59.78169199806871,313.0,1.6022320300627149,0.0,25,28,29,30,38,39,60,60,60,60,60
POST,/rest/user/login,44,0,19,19.852548227308116,15.276146994438022,31.556288995489012,820.9090909090909,1.6022320300627149,0.0,19,20,21,23,24,27,32,32,32,32,32
,Aggregated,132,0,22,23.48223740172574,15.276146994438022,59.78169199806871,4536.30303030303,4.806696090188145,0.0,22,24,26,27,32,38,44,52,60,60,60
