Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,3,0,35,37.44983900105581,26.705973999924026,50.283683005545754,313.0,0.6412767934203307,0.0,35,35,50,50,50,50,50,50,50,50,50
GET,/rest/products/search?q=,8,0,18,19.56681449973985,10.02937199518783,28.728623998176772,12895.0,1.710071449120882,0.0,21,26,27,27,29,29,29,29,29,29,29
POST,/rest/user/login,3,0,23,22.356855663626146,20.050922001246363,24.213419994339347,820.0,0.6412767934203307,0.0,23,23,24,24,24,24,24,24,24,24,24
,Aggregated,14,0,23,23.99675714228319,10.02937199518783,50.283683005545754,7611.357142857143,2.9926250359615434,0.0,24,27,27,29,35,50,50,50,50,50,50
