Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,53,0,24,26.298667432713973,19.060225997236557,70.1429199980339,313.0,1.6833337967651971,0.0,24,25,27,28,32,43,48,70,70,70,70
POST,/rest/user/login,53,0,18,19.858583018984337,15.735080996819306,36.50016499886988,820.9245283018868,1.6833337967651971,0.0,18,20,21,21,25,30,33,37,37,37,37
,Aggregated,106,0,22,23.078625225849155,15.735080996819306,70.1429199980339,566.9622641509434,3.3666675935303942,0.0,22,24,25,25,30,33,43,48,70,70,70
