Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,3,0,43,39.212348999474976,27.19204300228739,47.311808993981685,313.0,1.1760356228289148,0.0,43,43,47,47,47,47,47,47,47,47,47
GET,/rest/products/search?q=,5,0,12,13.736991801124532,11.18998099991586,20.7490430038888,12895.0,1.9600593713815249,0.0,12,14,14,21,21,21,21,21,21,21,21
POST,/rest/user/login,3,0,20,20.328291999855235,19.50516099896049,21.54442099708831,820.6666666666666,1.1760356228289148,0.0,20,20,22,22,22,22,22,22,22,22,22
,Aggregated,11,0,20,22.482443818510298,11.18998099991586,47.311808993981685,6170.545454545455,4.3121306170393545,0.0,20,22,27,27,43,47,47,47,47,47,47
