Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,61,0,43,42.610728065244714,20.30262100015534,78.23685299808858,313.0,1.7322904414382612,0.0,43,50,53,53,57,70,77,78,78,78,78
POST,/rest/user/login,61,0,23,24.475008131078344,14.652612997451797,49.979690003965516,820.9344262295082,1.7322904414382612,0.0,23,26,29,31,37,38,42,50,50,50,50
,Aggregated,122,0,29,33.54286809816153,14.652612997451797,78.23685299808858,566.9672131147541,3.4645808828765223,0.0,30,37,44,49,53,57,74,77,78,78,78
