Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/Products/,29,0,22,23.896813413463452,16.33751099871006,45.04171699954895,12475.0,1.7179101531701377,0.0,22,24,25,31,35,37,45,45,45,45,45
POST,/api/Users/,29,0,25,30.112499482568417,20.42654999968363,78.09226699464489,313.0,1.7179101531701377,0.0,25,29,31,32,52,65,78,78,78,78,78
POST,/rest/user/login,29,0,19,20.375756241264753,16.3866090006195,41.319070995086804,820.8620689655172,1.7179101531701377,0.0,19,21,22,22,27,29,41,41,41,41,41
,Aggregated,87,0,22,24.79502304576554,16.33751099871006,78.09226699464489,4536.287356321839,5.153730459510413,0.0,22,24,27,29,34,41,65,78,78,78,78
