Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,6,0,36,37.78459066597861,29.4658119964879,48.14159400120843,313.0,1.5838299435825078,0.0,37,37,47,47,48,48,48,48,48,48,48
POST,/rest/user/login,6,0,21,22.94797933185085,19.11956399999326,27.596955995250028,820.3333333333334,1.5838299435825078,0.0,23,23,27,27,28,28,28,28,28,28,28
,Aggregated,12,0,28,30.366284998914733,19.11956399999326,48.14159400120843,566.6666666666666,3.1676598871650157,0.0,29,30,37,37,47,48,48,48,48,48,48
