Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/Products/,37,0,20,22.63872297339116,17.01370999944629,51.94601800030796,12475.0,1.683708156316097,0.0,20,23,24,25,29,33,52,52,52,52,52
POST,/api/Users/,37,0,25,27.251359784222096,21.490163999260403,51.34983899915824,313.0,1.683708156316097,0.0,25,25,27,29,41,46,51,51,51,51,51
POST,/rest/user/login,37,0,19,20.202344459657734,15.08687900059158,40.51270200579893,820.8918918918919,1.683708156316097,0.0,19,20,22,23,24,33,41,41,41,41,41
,Aggregated,111,0,22,23.364142405756997,15.08687900059158,51.94601800030796,4536.2972972972975,5.051124468948291,0.0,22,23,25,25,33,41,46,51,52,52,52
