Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,49,0,47,42.380620612304334,20.694381993962452,73.98311999713769,313.0,1.6925254360708704,0.0,47,51,52,52,58,62,74,74,74,74,74
POST,/rest/user/login,49,0,24,25.319423509894737,15.762635004648473,47.01803300122265,820.9183673469388,1.6925254360708704,0.0,24,27,32,34,37,37,47,47,47,47,47
,Aggregated,98,0,31,33.85002206109954,15.762635004648473,73.98311999713769,566.9591836734694,3.3850508721417407,0.0,32,37,47,50,52,58,62,74,74,74,74
