Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,3,0,38,39.92424500029301,30.10902499954682,51.81019900192041,313.0,0.7549778305086617,0.0,38,38,52,52,52,52,52,52,52,52,52
GET,/rest/products/search?q=,7,0,15,14.907718571651328,9.35207300062757,21.924064996710513,12895.0,1.761614937853544,0.0,15,16,18,18,22,22,22,22,22,22,22
POST,/rest/user/login,3,0,24,26.204858998729225,22.643165997578762,31.496023999352474,820.0,0.7549778305086617,0.0,24,24,31,31,31,31,31,31,31,31,31
,Aggregated,13,0,22,23.287795538355848,9.35207300062757,51.81019900192041,7204.923076923077,3.271570598870867,0.0,22,24,30,31,38,52,52,52,52,52,52
