Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,3,0,29,43.298471665669545,27.91667599376524,72.56587400479475,313.0,0.38092390692798056,0.0,29,29,73,73,73,73,73,73,73,73,73
GET,/rest/basket/6,14,14,3,3.3155158572688896,1.8972110046888702,5.978745000902563,972.0,1.7776448989972424,1.7776448989972424,3,4,5,5,5,6,6,6,6,6,6
GET,/rest/products/search?q=,14,0,16,17.415314286024245,10.12864900258137,29.59942199959187,12895.0,1.7776448989972424,0.0,16,19,21,22,25,30,30,30,30,30,30
POST,/rest/user/login,3,0,25,25.646425334950134,19.563016001484357,32.60511600092286,820.0,0.38092390692798056,0.0,25,25,33,33,33,33,33,33,33,33,33
,Aggregated,34,14,12,14.619597441410674,1.8972110046888702,72.56587400479475,5809.911764705882,4.3171376118504465,1.7776448989972424,13,17,21,25,29,33,73,73,73,73,73
