Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,11,0,28,28.98679890958275,22.302439996565226,40.42924600071274,235.72727272727272,0.20366028349589663,0.0,28,30,31,31,35,40,40,40,40,40,40
POST,/api/BasketItems/,71,18,17,17.969471365881553,5.428470998595003,103.70638099993812,231.69014084507043,1.314534557109878,0.33326228208419445,17,19,21,21,23,24,36,100,100,100,100
POST,/api/Cards/,23,0,34,38.999766521674644,24.397840999881737,87.7184839991969,188.8695652173913,0.4258351382186929,0.0,34,45,46,49,53,55,88,88,88,88,88
POST,/api/Users/,3,0,50,50.47881233379788,27.99781400244683,73.30308300151955,313.0,0.055543713680699075,0.0,50,50,73,73,73,73,73,73,73,73,73
POST,/rest/basket/6/checkout,3,0,60,60.10915033402853,52.94005099858623,67.34833900554804,45.0,0.055543713680699075,0.0,60,60,67,67,67,67,67,67,67,67,67
POST,/rest/basket/7/checkout,3,0,52,62.134944998736806,48.44242300168844,86.42300799692748,45.0,0.055543713680699075,0.0,52,52,86,86,86,86,86,86,86,86,86
POST,/rest/basket/8/checkout,4,0,47,69.59110725256323,46.616394000011496,126.44151400309056,45.0,0.07405828490759876,0.0,59,59,130,130,130,130,130,130,130,130,130
GET,/rest/products/search?q=,25,0,18,19.18850075919181,9.902972997224424,36.93176399974618,12895.0,0.4628642806724923,0.0,18,20,22,24,29,30,37,37,37,37,37
POST,/rest/user/login,3,0,35,35.61745333233072,34.61505800078157,37.00491199560929,820.0,0.055543713680699075,0.0,35,35,37,37,37,37,37,37,37,37,37
,Aggregated,146,18,21,26.53958846553594,5.428470998595003,126.44151400309056,2394.595890410959,2.703127399127355,0.33326228208419445,21,25,30,35,49,59,88,100,130,130,130
