Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,2,0,26.446335003129207,34.68648350099102,26.446335003129207,42.92663199885283,235.0,0.1341815934336147,0.0,43,43,43,43,43,43,43,43,43,43,43
POST,/api/BasketItems/,20,5,15,17.039306400329224,5.754017001891043,32.21886199753499,131.9,1.341815934336147,0.3354539835840368,16,21,22,23,27,32,32,32,32,32,32
POST,/api/Cards/,6,0,24,27.967132831690833,23.695080999459606,44.073384000512306,188.5,0.4025447803008441,0.0,24,24,28,28,44,44,44,44,44,44,44
POST,/api/Users/,3,0,29,44.89694833318936,27.32454099896131,78.26104600098915,313.0,0.20127239015042206,0.0,29,29,78,78,78,78,78,78,78,78,78
POST,/rest/basket/6/checkout,2,0,61.37839099392295,64.94733249564888,61.37839099392295,68.51627399737481,45.0,0.1341815934336147,0.0,69,69,69,69,69,69,69,69,69,69,69
POST,/rest/basket/7/checkout,2,0,52.33092699927511,54.1874930022459,52.33092699927511,56.044059005216695,45.0,0.1341815934336147,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/rest/products/search?q=,8,0,13,16.214491625760274,11.106715006462764,24.51992499845801,12895.0,0.5367263737344588,0.0,15,17,24,24,25,25,25,25,25,25,25
POST,/rest/user/login,3,0,23,27.09324366878718,20.97993100323947,37.3454060027143,820.0,0.20127239015042206,0.0,23,23,37,37,37,37,37,37,37,37,37
,Aggregated,46,5,22,25.259088087098107,5.754017001891043,78.26104600098915,2412.5652173913045,3.086176648973138,0.3354539835840368,23,24,27,29,52,61,78,78,78,78,78
