Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,3,0,35,37.2606273352479,26.781236003444064,50.2049110000371,235.0,0.0908506732281966,0.0,35,35,50,50,50,50,50,50,50,50,50
POST,/api/BasketItems/,29,8,19,20.053273311250138,6.978454999625683,40.67068600124912,313.2413793103448,0.8782231745392337,0.24226846194185758,19,22,23,24,34,38,41,41,41,41,41
POST,/api/Cards/,8,0,32,32.286786749864405,20.854827998846304,48.34291899896925,188.625,0.24226846194185758,0.0,33,35,40,40,48,48,48,48,48,48,48
POST,/api/Users/,3,1,31,37.70230933150742,13.576950994320214,68.80101400020067,208.66666666666666,0.0908506732281966,0.030283557742732198,31,31,69,69,69,69,69,69,69,69,69
POST,/rest/basket/7/checkout,3,0,67,64.45882800229204,51.55488700256683,75.08965600572992,45.0,0.0908506732281966,0.0,67,67,75,75,75,75,75,75,75,75,75
GET,/rest/products/search?q=,25,0,16,18.892830959521234,8.914958001696505,40.35393999947701,12895.0,0.7570889435683049,0.0,16,18,23,25,30,34,40,40,40,40,40
POST,/rest/user/login,3,1,27,28.348524666701753,15.207126998575404,43.279940997308586,555.3333333333334,0.0908506732281966,0.030283557742732198,27,27,43,43,43,43,43,43,43,43,43
,Aggregated,74,10,21,24.533390027303344,6.978454999625683,75.08965600572992,4541.891891891892,2.2409832729621826,0.302835577427322,21,24,30,34,41,52,69,75,75,75,75
