Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,369,0,700.0,755.4813410297998,103.69555400393438,1681.3671069976408,236.93224932249322,4.433816572353917,0.0,700,850,950,1000,1200,1400,1400,1500,1700,1700,1700
POST,/api/BasketItems/,2293,724,610.0,657.7971481303756,7.333988993195817,1629.908004993922,214.87963366768426,27.552144716551577,8.699412461745897,610,770,870,920,1100,1300,1400,1400,1500,1600,1600
POST,/api/Cards/,722,0,730.0,759.1295776456363,85.15108400024474,1537.95715700835,190.07617728531855,8.675380935608477,0.0,730,860,920,980,1200,1300,1400,1400,1500,1500,1500
POST,/api/Users/,100,0,350.0,617.6237654307624,263.95076399785466,1561.4485230034916,313.22,1.2015763068709802,0.0,350,490,840,1000,1500,1500,1600,1600,1600,1600,1600
POST,/rest/basket/10/checkout,6,0,740.0,874.2954115004977,313.91382300353143,1450.0982360041235,45.0,0.07209457841225882,0.0,990,990,1000,1000,1500,1500,1500,1500,1500,1500,1500
POST,/rest/basket/100/checkout,3,0,950.0,962.5978776700018,589.7194290009793,1345.727659005206,45.0,0.03604728920612941,0.0,950,950,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/rest/basket/101/checkout,4,0,920.0,805.307148501015,390.70652799273375,957.4213270097971,45.0,0.04806305227483921,0.0,950,950,960,960,960,960,960,960,960,960,960
POST,/rest/basket/102/checkout,4,0,750.0,740.0556207503541,437.55257900920697,900.2665419975528,45.0,0.04806305227483921,0.0,870,870,900,900,900,900,900,900,900,900,900
POST,/rest/basket/103/checkout,1,0,895.717823994346,895.717823994346,895.717823994346,895.717823994346,45.0,0.012015763068709802,0.0,900,900,900,900,900,900,900,900,900,900,900
POST,/rest/basket/104/checkout,4,0,860.0,710.3155382574187,109.51408800610807,949.6383180085104,45.0,0.04806305227483921,0.0,920,920,950,950,950,950,950,950,950,950,950
POST,/rest/basket/105/checkout,3,0,500.0,658.1680496698633,459.7941020037979,1016.6062939970288,45.0,0.03604728920612941,0.0,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/rest/basket/11/checkout,2,0,940.0,1042.5802105019102,938.3135079988278,1146.8469130049925,45.0,0.024031526137419604,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/rest/basket/12/checkout,2,0,1144.5057750097476,1148.8452725097886,1144.5057750097476,1153.1847700098297,45.0,0.024031526137419604,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
POST,/rest/basket/13/checkout,4,0,770.0,816.7208849990857,464.62387799692806,1178.7647290038876,45.0,0.04806305227483921,0.0,850,850,1200,1200,1200,1200,1200,1200,1200,1200,1200
POST,/rest/basket/14/checkout,1,0,1271.8696739902953,1271.8696739902953,1271.8696739902953,1271.8696739902953,45.0,0.012015763068709802,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/rest/basket/15/checkout,3,0,830.0,890.0944479973987,551.4782929967623,1290.572894999059,45.0,0.03604728920612941,0.0,830,830,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/rest/basket/16/checkout,3,0,1100.0,963.5463546631703,458.23919599934015,1328.690619993722,45.0,0.03604728920612941,0.0,1100,1100,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/rest/basket/17/checkout,5,0,780.0,897.6476504001766,623.7064360029763,1410.3401159954956,45.0,0.06007881534354901,0.0,780,900,900,1400,1400,1400,1400,1400,1400,1400,1400
