Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,53,0,24,35.40545447171064,18.890838997322135,136.4254569998593,235.9433962264151,1.557543604374567,0.0,24,38,41,45,58,88,110,140,140,140,140
POST,/api/BasketItems/,159,31,14,22.49001069821757,3.011542998137884,233.59986399736954,137.46540880503144,4.672630813123701,0.9110160704832372,14,20,28,31,39,59,100,120,230,230,230
POST,/api/Cards/,53,0,25,32.97979896215454,19.155758003762458,87.6350039980025,188.9433962264151,1.557543604374567,0.0,25,36,41,43,58,80,82,88,88,88,88
POST,/api/Users/,3,0,90,78.58233100220484,51.30902599921683,94.65693100355566,313.0,0.08816284553063586,0.0,90,90,95,95,95,95,95,95,95,95,95
POST,/rest/basket/6/checkout,19,0,47,64.44025026308066,35.24032400309807,135.77638599963393,45.0,0.5583646883606938,0.0,47,81,85,88,130,140,140,140,140,140,140
POST,/rest/basket/7/checkout,17,0,47,61.17516176506315,35.935556996264495,102.00161600369029,45.0,0.49958945800693655,0.0,47,80,80,88,100,100,100,100,100,100,100
POST,/rest/basket/8/checkout,17,0,45,66.02217382297728,35.56293500150787,215.65197800373426,45.0,0.49958945800693655,0.0,45,53,74,82,150,220,220,220,220,220,220
GET,/rest/products/search?q=,53,0,15,19.300601112778203,8.238545997301117,110.72948999935761,12895.0,1.557543604374567,0.0,15,20,21,24,29,41,41,110,110,110,110
POST,/rest/user/login,3,0,54,55.98318800184643,51.364343002205715,62.50205200194614,820.0,0.08816284553063586,0.0,54,54,63,63,63,63,63,63,63,63,63
,Aggregated,377,31,22,31.86651991776145,3.011542998137884,233.59986399736954,1945.8753315649867,11.07913092168324,0.9110160704832372,22,34,39,42,64,88,120,140,230,230,230
