Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Users/,3,3,2,5.518028665392194,1.2771089968737215,13.234553000074811,0.0,0.17126027510992214,0.17126027510992214,2,2,13,13,13,13,13,13,13,13,13
GET,/rest/products/search?q=,30,30,2,1.8488643994108618,0.7568649962195195,3.26624699664535,0.0,1.7126027510992214,1.7126027510992214,2,2,2,2,3,3,3,3,3,3,3
POST,/rest/user/login,3,3,2,2.0322976658159555,1.2831150015699677,2.9161329948692583,0.0,0.17126027510992214,0.17126027510992214,2,2,3,3,3,3,3,3,3,3,3
,Aggregated,36,36,2,2.1699141937763975,0.7568649962195195,13.234553000074811,0.0,2.0551233013190657,2.0551233013190657,2,2,2,2,3,3,13,13,13,13,13
