Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,57,0,37,38.74170866625367,21.028821007348597,114.42024599818978,235.94736842105263,0.23913877319049884,0.0,37,39,41,43,54,69,78,110,110,110,110
POST,/api/BasketItems/,325,98,17,16.556932405846265,3.6758950009243563,58.11504399753176,242.30769230769232,1.3635105488931951,0.4111508732047173,17,19,20,21,24,28,42,50,58,58,58
POST,/api/Cards/,107,0,37,37.04294950413522,19.03508900431916,69.16537499637343,189.10280373831776,0.44890962686637503,0.0,37,41,43,45,49,57,66,69,69,69,69
POST,/api/Users/,3,0,41,45.578072667315915,25.155191993690096,71.03440401260741,313.0,0.01258625122055257,0.0,41,41,71,71,71,71,71,71,71,71,71
POST,/rest/basket/6/checkout,15,0,64,64.33100806898437,40.78789999766741,97.2165679995669,45.0,0.06293125610276286,0.0,64,70,74,75,83,97,97,97,97,97,97
POST,/rest/basket/7/checkout,14,0,60,66.08357492534977,38.01876900251955,134.75006200314965,45.0,0.05873583902924533,0.0,61,66,70,77,95,130,130,130,130,130,130
POST,/rest/basket/8/checkout,18,0,72,67.608536998806,35.06673299125396,101.70724699855782,45.0,0.07551750732331543,0.0,72,76,77,77,84,100,100,100,100,100,100
GET,/rest/products/search?q=,109,0,20,20.23094351397541,8.625510992715135,91.2360729998909,12895.0,0.4573004610134101,0.0,20,22,23,24,29,34,37,39,91,91,91
POST,/rest/user/login,3,0,28,27.87226166401524,27.507217004313134,28.15179599565454,820.0,0.01258625122055257,0.0,28,28,28,28,28,28,28,28,28,28,28
,Aggregated,651,98,21,26.24499032996075,3.6758950009243563,134.75006200314965,2340.2488479262674,2.731216514859908,0.4111508732047173,21,26,34,38,48,64,77,84,130,130,130
