Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,578,0,500.0,522.5088467959345,48.190802001045085,1394.5468029996846,237.06401384083046,5.144964832400115,0.0,500,600,660,710,800,1000,1100,1300,1400,1400,1400
POST,/api/BasketItems/,3536,1438,410.0,432.3269468936621,3.82153301325161,1398.2097930129385,195.00650452488688,31.475078974683058,12.800102818324161,410,510,580,630,750,830,1000,1100,1300,1400,1400
POST,/api/Cards/,1134,0,500.0,522.607588088318,19.24546400550753,1359.850014996482,190.24867724867724,10.094100553532405,0.0,500,600,670,720,820,960,1100,1100,1400,1400,1400
POST,/api/Users/,100,0,440.0,589.8846090905135,249.48835000395775,1355.5585770081962,313.22,0.8901323239446566,0.0,440,510,720,880,1300,1400,1400,1400,1400,1400,1400
POST,/rest/basket/10/checkout,8,0,470.0,518.3139136206592,254.4041889923392,831.7914949875558,45.0,0.07121058591557253,0.0,580,630,660,660,830,830,830,830,830,830,830
POST,/rest/basket/100/checkout,6,0,380.0,488.3173258349416,298.35059399192687,754.8009440070018,45.0,0.053407939436679396,0.0,420,420,730,730,750,750,750,750,750,750,750
POST,/rest/basket/101/checkout,5,0,690.0,725.9966332028853,575.5628690094454,975.3939869988244,45.0,0.044506616197232826,0.0,690,750,750,980,980,980,980,980,980,980,980
POST,/rest/basket/102/checkout,6,0,520.0,511.9618535003004,154.89010099554434,640.2864270057762,45.0,0.053407939436679396,0.0,610,610,620,620,640,640,640,640,640,640,640
POST,/rest/basket/103/checkout,6,0,470.0,580.3530998333978,367.1730589994695,1039.6809699886944,45.0,0.053407939436679396,0.0,550,550,580,580,1000,1000,1000,1000,1000,1000,1000
POST,/rest/basket/104/checkout,5,0,750.0,673.5549748002086,437.77900098939426,890.2265549986623,45.0,0.044506616197232826,0.0,750,790,790,890,890,890,890,890,890,890,890
POST,/rest/basket/105/checkout,4,0,570.0,590.4155802491005,516.2083129980601,697.5176810083212,45.0,0.035605292957786264,0.0,580,580,700,700,700,700,700,700,700,700,700
POST,/rest/basket/11/checkout,3,0,750.0,755.8059706692196,483.82980799942743,1036.267425006372,45.0,0.026703969718339698,0.0,750,750,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/rest/basket/12/checkout,3,0,590.0,561.5304376600155,435.98891799047124,663.0805659951875,45.0,0.026703969718339698,0.0,590,590,660,660,660,660,660,660,660,660,660
POST,/rest/basket/13/checkout,6,0,680.0,620.1811986660081,331.9849360123044,755.6999380030902,45.0,0.053407939436679396,0.0,700,700,710,710,760,760,760,760,760,760,760
POST,/rest/basket/14/checkout,7,0,690.0,682.3798187168514,299.8477740038652,1064.8160280106822,45.0,0.06230926267612596,0.0,690,800,900,900,1100,1100,1100,1100,1100,1100,1100
POST,/rest/basket/15/checkout,7,0,570.0,630.6801669998094,390.276272999472,1027.9715330107138,45.0,0.06230926267612596,0.0,570,650,760,760,1000,1000,1000,1000,1000,1000,1000
POST,/rest/basket/16/checkout,6,0,380.0,507.68483433057554,107.03581599227618,901.8659720022697,45.0,0.053407939436679396,0.0,640,640,830,830,900,900,900,900,900,900,900
POST,/rest/basket/17/checkout,9,0,640.0,659.9077628909274,380.2497400029097,1290.910358002293,45.0,0.08011190915501909,0.0,640,690,700,730,1300,1300,1300,1300,1300,1300,1300
POST,/rest/basket/18/checkout,5,0,460.0,481.0817506047897,301.3252810051199,603.0338190030307,45.0,0.044506616197232826,0.0,460,590,590,600,600,600,600,600,600,600,600
POST,/rest/basket/19/checkout,10,0,500.0,552.9891722995671,237.34846099978313,1066.5833270031726,45.0,0.08901323239446565,0.0,520,560,590,810,1100,1100,1100,1100,1100,1100,1100
POST,/rest/basket/20/checkout,5,0,660.0,644.9216674052877,543.6406030057697,722.943002008833,45.0,0.044506616197232826,0.0,660,700,700,720,720,720,720,720,720,720,720
POST,/rest/basket/21/checkout,4,0,610.0,604.9626790008915,351.167130007525,747.2201860073255,45.0,0.035605292957786264,0.0,710,710,750,750,750,750,750,750,750,750,750
