Method,Name,Error,Occurrences
POST,/api/BasketItems/,HTTPError('400 Client Error: Bad Request for url: /api/BasketItems/'),611
POST,/api/BasketItems/,HTTPError('500 Server Error: Internal Server Error for url: /api/BasketItems/'),113
