Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/BasketId/,18,18,12,14.282757944682897,8.582872003898956,24.35025299928384,3917.0,1.7693646631514892,1.7693646631514892,13,15,17,19,23,24,24,24,24,24,24
POST,/api/Users/,3,0,36,50.360318666207604,27.03054800076643,87.81253899360308,313.0,0.2948941105252482,0.0,36,36,88,88,88,88,88,88,88,88,88
GET,/rest/products/search?q=,18,0,24,23.30104349999197,10.596676002023742,46.43778800527798,12895.0,1.7693646631514892,0.0,24,25,29,31,36,46,46,46,46,46,46
POST,/rest/user/login,3,0,24,28.60341966637255,21.632859999954235,39.78217399708228,820.0,0.2948941105252482,0.0,24,24,40,40,40,40,40,40,40,40,40
,Aggregated,42,18,19,21.747610500044953,8.582872003898956,87.81253899360308,7286.071428571428,4.128517547353475,1.7693646631514892,20,24,25,27,36,40,88,88,88,88,88
