Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/BasketId/,14,14,11,12.180410714790924,6.558809996931814,20.29275500535732,3917.0,1.5982523382844191,1.5982523382844191,11,12,15,18,20,20,20,20,20,20,20
POST,/api/Users/,3,0,32,43.11177899944596,26.145989999349695,71.09032000153093,313.0,0.3424826439180898,0.0,32,32,71,71,71,71,71,71,71,71,71
GET,/rest/products/search?q=,14,0,15,15.624014072402913,8.914156998798717,22.994110004219692,12895.0,1.5982523382844191,0.0,16,18,19,20,21,23,23,23,23,23,23
POST,/rest/user/login,3,0,25,24.10548700330158,18.187881003541406,28.684682001767214,820.0,0.3424826439180898,0.0,25,25,29,29,29,29,29,29,29,29,29
,Aggregated,34,14,15,17.37981603026342,6.558809996931814,71.09032000153093,7022.558823529412,3.881469964405018,1.5982523382844191,15,18,20,21,26,32,71,71,71,71,71
