Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,18,0,21,23.313574222104055,18.532939997385256,38.752455002395436,235.83333333333334,1.5520727566997412,0.0,22,22,23,25,35,39,39,39,39,39,39
POST,/api/BasketItems/,54,5,13,17.42862501797154,9.173751997877844,64.99543599784374,146.87037037037038,4.656218270099224,0.4311313213054837,13,16,18,20,32,40,41,65,65,65,65
POST,/api/Cards/,18,0,20,24.463483665992197,18.87789800093742,55.506060998595785,188.83333333333334,1.5520727566997412,0.0,20,22,23,24,37,56,56,56,56,56,56
POST,/api/Users/,3,0,35,43.71083700001085,29.313157996512018,67.30375400366029,313.0,0.2586787927832902,0.0,35,35,67,67,67,67,67,67,67,67,67
POST,/rest/basket/6/checkout,7,0,43,51.66142485748943,37.96029699879,81.06093000242254,45.0,0.6035838498276771,0.0,43,48,67,67,81,81,81,81,81,81,81
POST,/rest/basket/7/checkout,5,0,44,49.68228719808394,40.51726599573158,78.44829699752154,45.0,0.4311313213054837,0.0,44,44,44,78,78,78,78,78,78,78,78
POST,/rest/basket/8/checkout,6,0,42,49.465411999941956,39.802912004233804,75.34758099791361,45.0,0.5173575855665804,0.0,47,47,50,50,75,75,75,75,75,75,75
GET,/rest/products/search?q=,18,0,15,17.778559778687647,9.777202001714613,38.15515699534444,12895.0,1.5520727566997412,0.0,15,18,21,27,30,38,38,38,38,38,38
POST,/rest/user/login,3,0,22,22.92709933196117,18.0860059990664,29.098806997353677,820.0,0.2586787927832902,0.0,22,22,29,29,29,29,29,29,29,29,29
,Aggregated,132,5,20,24.453746666371114,9.173751997877844,81.06093000242254,1908.2878787878788,11.381866882464768,0.4311313213054837,20,23,32,37,43,56,75,78,81,81,81
