Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,4,0,34,35.53004300010798,22.827974004030693,44.61862699827179,235.25,0.14904201826572278,0.0,40,40,45,45,45,45,45,45,45,45,45
POST,/api/BasketItems/,35,6,15,16.294931257185194,5.528568995941896,28.06019900162937,190.17142857142858,1.3041176598250743,0.22356302739858416,15,17,19,20,23,27,28,28,28,28,28
POST,/api/Cards/,11,0,33,34.53498036370465,24.258000994450413,53.07541700312868,188.72727272727272,0.4098655502307377,0.0,33,41,41,41,49,53,53,53,53,53,53
POST,/api/Users/,3,0,32,44.37551266892115,25.918167004419956,74.88150100107305,313.0,0.11178151369929208,0.0,32,32,75,75,75,75,75,75,75,75,75
POST,/rest/basket/6/checkout,1,0,71.31361500069033,71.31361500069033,71.31361500069033,71.31361500069033,45.0,0.037260504566430694,0.0,71,71,71,71,71,71,71,71,71,71,71
POST,/rest/basket/7/checkout,3,0,57,66.92130066706643,47.58924299676437,96.37979800027097,45.0,0.11178151369929208,0.0,57,57,96,96,96,96,96,96,96,96,96
POST,/rest/basket/8/checkout,2,0,54.371355996408965,55.13373349822359,54.371355996408965,55.89611100003822,45.0,0.07452100913286139,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/rest/products/search?q=,12,0,20,22.16143975056184,12.003702999209054,36.4596720028203,12895.0,0.4471260547971683,0.0,23,24,26,26,29,36,36,36,36,36,36
POST,/rest/user/login,3,0,27,26.49552199970155,23.849956996855326,28.403192998666782,820.0,0.11178151369929208,0.0,27,27,28,28,28,28,28,28,28,28,28
,Aggregated,74,6,22,26.3949042569407,5.528568995941896,96.37979800027097,2271.3783783783783,2.7572773379158715,0.22356302739858416,23,26,30,34,49,57,75,96,96,96,96
