Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1697935363,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1697935364,1,,Aggregated,0.000000,0.000000,39,40,54,90,120,120,120,120,120,120,120,9,0,39,50.08357844538599,25.28109100239817,115.16780000238214,1662.4444444444443
1697935365,2,,Aggregated,0.000000,0.000000,42,46,51,54,99,120,120,120,120,120,120,18,1,40,46.82817872162559,5.73560699558584,115.16780000238214,1657.2777777777778
1697935366,3,,Aggregated,9.000000,0.000000,51,69,88,95,120,140,220,220,220,220,220,34,2,51,63.46906908819459,5.73560699558584,215.65197800373426,1721.5
1697935367,3,,Aggregated,9.000000,0.500000,45,66,88,90,110,120,220,220,220,220,220,41,2,45,60.07342151222075,5.73560699558584,215.65197800373426,1764.9512195121952
1697935368,3,,Aggregated,11.000000,0.666667,43,63,88,90,110,120,140,220,220,220,220,57,2,43,58.18434978956295,5.73560699558584,215.65197800373426,1983.842105263158
1697935369,3,,Aggregated,9.750000,0.500000,42,54,80,88,110,120,140,220,220,220,220,69,2,42,55.07655921710598,5.73560699558584,215.65197800373426,1850.623188405797
1697935370,3,,Aggregated,10.200000,0.400000,41,51,69,85,100,120,140,220,220,220,220,80,4,41,52.16492754971114,5.1585540059022605,215.65197800373426,1933.7375
1697935371,3,,Aggregated,10.333333,0.333333,41,46,66,82,100,110,140,220,220,220,220,88,6,40,50.54929738625188,4.395716001454275,215.65197800373426,1915.659090909091
1697935372,3,,Aggregated,10.857143,0.571429,41,51,69,81,100,110,140,140,220,220,220,104,6,40,51.24708113467372,4.395716001454275,215.65197800373426,1889.201923076923
1697935373,3,,Aggregated,10.375000,0.500000,41,51,66,80,100,110,140,140,220,220,220,106,6,40,50.899249622677914,4.395716001454275,215.65197800373426,1976.6792452830189
1697935374,3,,Aggregated,10.777778,0.666667,41,54,69,80,100,120,150,220,230,230,230,122,8,40,52.3921178854104,4.395716001454275,233.59986399736954,1945.188524590164
1697935375,3,,Aggregated,10.777778,0.666667,41,56,71,81,100,120,150,220,230,230,230,125,8,41,53.298445816210005,4.395716001454275,233.59986399736954,1902.264
1697935376,3,,Aggregated,11.000000,0.700000,39,50,65,80,100,120,150,220,230,230,230,139,9,39,50.28674630964344,4.395716001454275,233.59986399736954,1909.0071942446043
1697935377,3,,Aggregated,10.700000,0.700000,38,45,63,74,99,120,140,220,230,230,230,152,10,38,47.61834761206716,4.395716001454275,233.59986399736954,1926.8157894736842
1697935378,3,,Aggregated,10.700000,0.700000,38,45,58,71,99,120,140,220,230,230,230,160,11,38,46.427445275185164,4.395716001454275,233.59986399736954,1916.6125
1697935379,3,,Aggregated,10.700000,0.800000,37,44,58,69,95,110,140,220,230,230,230,164,11,37,46.0331214269944,4.395716001454275,233.59986399736954,2029.0182926829268
1697935380,3,,Aggregated,10.700000,0.800000,36,44,54,65,88,110,140,220,230,230,230,181,11,36,44.91659772382324,4.395716001454275,233.59986399736954,1923.513812154696
1697935381,3,,Aggregated,10.900000,0.900000,36,44,54,64,88,110,140,220,230,230,230,188,12,36,43.88961654261406,4.389499998069368,233.59986399736954,1924.968085106383
1697935382,3,,Aggregated,10.500000,0.700000,33,42,50,58,88,110,140,150,230,230,230,208,14,32,41.70753979329115,4.389499998069368,233.59986399736954,1938.2403846153845
1697935383,3,,Aggregated,10.500000,0.800000,32,41,49,57,88,110,140,150,230,230,230,216,14,32,40.96778890747104,4.389499998069368,233.59986399736954,1930.6944444444443
1697935384,3,,Aggregated,10.200000,0.700000,31,41,46,54,85,110,140,150,230,230,230,230,16,30,39.550586434842955,3.011542998137884,233.59986399736954,1932.6260869565217
1697935385,3,,Aggregated,10.200000,0.700000,30,40,45,53,82,110,140,150,230,230,230,237,16,30,39.02463094939926,3.011542998137884,233.59986399736954,1933.902953586498
1697935386,3,,Aggregated,10.500000,0.800000,28,39,44,50,82,100,130,150,230,230,230,251,18,28,37.856234043825694,3.011542998137884,233.59986399736954,1935.5019920318725
1697935387,3,,Aggregated,10.500000,0.800000,27,38,43,49,81,100,130,150,230,230,230,265,18,27,36.84436333588685,3.011542998137884,233.59986399736954,1937.6528301886792
1697935388,3,,Aggregated,11.200000,0.800000,26,38,43,49,80,100,130,150,230,230,230,272,18,26,36.389456676555284,3.011542998137884,233.59986399736954,1938.6544117647059
1697935389,3,,Aggregated,11.900000,0.800000,26,38,42,47,80,100,130,150,230,230,230,293,20,26,35.621380808934255,3.011542998137884,233.59986399736954,1940.7064846416383
1697935390,3,,Aggregated,11.200000,0.700000,26,38,42,47,80,100,130,150,230,230,230,300,20,26,35.25006036674313,3.011542998137884,233.59986399736954,1941.54
1697935391,3,,Aggregated,11.200000,0.700000,25,37,41,46,79,99,120,140,230,230,230,307,21,25,34.89113344633341,3.011542998137884,233.59986399736954,1942.0228013029316
1697935392,3,,Aggregated,11.200000,0.900000,25,36,41,45,74,95,120,140,230,230,230,326,24,24,33.873334015399806,3.011542998137884,233.59986399736954,1954.5490797546013
1697935393,3,,Aggregated,11.200000,0.900000,25,36,41,45,74,95,120,140,230,230,230,328,24,24,33.84762197872145,3.011542998137884,233.59986399736954,1943.344512195122
