Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,3,0,36,33.37150866476198,24.619769996206742,39.51530499762157,235.0,0.15204566162649638,0.0,36,36,40,40,40,40,40,40,40,40,40
POST,/api/BasketItems/,27,5,16,15.718936258323353,6.888149000587873,30.549334005627315,269.81481481481484,1.3684109546384673,0.2534094360441606,16,16,17,18,24,24,31,31,31,31,31
POST,/api/Cards/,7,0,44,42.5231772844979,29.04590399703011,55.3152099964791,188.57142857142858,0.35477321046182486,0.0,44,46,52,52,55,55,55,55,55,55,55
POST,/api/Users/,3,0,42,52.10505433205981,30.110646002867725,84.52774199395208,313.0,0.15204566162649638,0.0,42,42,85,85,85,85,85,85,85,85,85
POST,/rest/basket/7/checkout,1,0,74.73101199866505,74.73101199866505,74.73101199866505,74.73101199866505,45.0,0.05068188720883212,0.0,75,75,75,75,75,75,75,75,75,75,75
POST,/rest/basket/8/checkout,1,0,55.70005399931688,55.70005399931688,55.70005399931688,55.70005399931688,45.0,0.05068188720883212,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/rest/products/search?q=,9,0,20,22.658748223168207,13.18885300133843,41.73454900592333,12895.0,0.4561369848794891,0.0,20,27,27,27,42,42,42,42,42,42,42
POST,/rest/user/login,3,0,26,26.230847666738555,22.495996003272012,29.889594996348023,820.0,0.15204566162649638,0.0,26,26,30,30,30,30,30,30,30,30,30
,Aggregated,54,5,18,25.769547258581344,6.888149000587873,84.52774199395208,2386.185185185185,2.7368219092769346,0.2534094360441606,18,27,30,40,46,56,75,85,85,85,85
