Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,5,0,31,36.06327220040839,25.701286998810247,55.46303200389957,235.4,0.19673884116631765,0.0,31,39,39,55,55,55,55,55,55,55,55
POST,/api/BasketItems/,34,5,20,19.47815011761336,5.500471001141705,32.640192002872936,193.85294117647058,1.3378241199309602,0.19673884116631765,20,22,23,25,28,31,33,33,33,33,33
POST,/api/Cards/,10,0,34,44.95843850017991,24.2750059987884,93.29856999829644,188.7,0.3934776823326353,0.0,41,49,49,72,93,93,93,93,93,93,93
POST,/api/Users/,3,0,31,44.80259500026781,29.969395000080112,73.162198998034,313.0,0.1180433046997906,0.0,31,31,73,73,73,73,73,73,73,73,73
POST,/rest/basket/6/checkout,2,0,72,94.02885250165127,71.82251199992606,116.23519300337648,45.0,0.07869553646652706,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/rest/basket/7/checkout,2,0,90,94.63673849677434,89.54335299495142,99.73012399859726,45.0,0.07869553646652706,0.0,100,100,100,100,100,100,100,100,100,100,100
POST,/rest/basket/8/checkout,1,0,65.79493400204228,65.79493400204228,65.79493400204228,65.79493400204228,45.0,0.03934776823326353,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/rest/products/search?q=,12,0,16,18.422705583968007,13.336424999579322,26.551668997853994,12895.0,0.4721732187991624,0.0,16,19,24,24,25,27,27,27,27,27,27
POST,/rest/user/login,3,0,34,30.48347266788672,22.1677389999968,34.79387400147971,820.0,0.1180433046997906,0.0,34,34,35,35,35,35,35,35,35,35,35
,Aggregated,72,5,23,30.30853661130095,5.500471001141705,116.23519300337648,2333.597222222222,2.8330393127949742,0.19673884116631765,23,28,32,34,66,90,100,120,120,120,120
